index,season,metric,value
0,2003-04,FG,622.0
1,2004-05,FG,795.0
2,2005-06,FG,875.0
3,2006-07,FG,772.0
4,2007-08,FG,794.0
5,2008-09,FG,789.0
6,2009-10,FG,768.0
7,2010-11,FG,758.0
8,2011-12,FG,621.0
9,2012-13,FG,765.0
10,2013-14,FG,767.0
11,2014-15,FG,624.0
12,2015-16,FG,737.0
13,2016-17,FG,736.0
14,2017-18,FG,857.0
15,2018-19,FG,558.0
16,2019-20,FG,643.0
17,2020-21,FG,422.0
18,2021-22,FG,213.0
0,2003-04,FG,622.0
1,2004-05,FG,795.0
2,2005-06,FG,875.0
3,2006-07,FG,772.0
4,2007-08,FG,794.0
5,2008-09,FG,789.0
6,2009-10,FG,768.0
7,2010-11,FG,758.0
8,2011-12,FG,621.0
9,2012-13,FG,765.0
10,2013-14,FG,767.0
11,2014-15,FG,624.0
12,2015-16,FG,737.0
13,2016-17,FG,736.0
14,2017-18,FG,857.0
15,2018-19,FG,558.0
16,2019-20,FG,643.0
17,2020-21,FG,422.0
18,2021-22,FG,213.0
0,2003-04,FG,622.0
1,2004-05,FG,795.0
2,2005-06,FG,875.0
3,2006-07,FG,772.0
4,2007-08,FG,794.0
5,2008-09,FG,789.0
6,2009-10,FG,768.0
7,2010-11,FG,758.0
8,2011-12,FG,621.0
9,2012-13,FG,765.0
10,2013-14,FG,767.0
11,2014-15,FG,624.0
12,2015-16,FG,737.0
13,2016-17,FG,736.0
14,2017-18,FG,857.0
15,2018-19,FG,558.0
16,2019-20,FG,643.0
17,2020-21,FG,422.0
18,2021-22,FG,213.0
0,2003-04,FGA,1492.0
1,2004-05,FGA,1684.0
2,2005-06,FGA,1823.0
3,2006-07,FGA,1621.0
4,2007-08,FGA,1642.0
5,2008-09,FGA,1613.0
6,2009-10,FGA,1528.0
7,2010-11,FGA,1485.0
8,2011-12,FGA,1169.0
9,2012-13,FGA,1354.0
10,2013-14,FGA,1353.0
11,2014-15,FGA,1279.0
12,2015-16,FGA,1416.0
13,2016-17,FGA,1344.0
14,2017-18,FGA,1580.0
15,2018-19,FGA,1095.0
16,2019-20,FGA,1303.0
17,2020-21,FGA,823.0
18,2021-22,FGA,414.0
0,2003-04,FGA,1492.0
1,2004-05,FGA,1684.0
2,2005-06,FGA,1823.0
3,2006-07,FGA,1621.0
4,2007-08,FGA,1642.0
5,2008-09,FGA,1613.0
6,2009-10,FGA,1528.0
7,2010-11,FGA,1485.0
8,2011-12,FGA,1169.0
9,2012-13,FGA,1354.0
10,2013-14,FGA,1353.0
11,2014-15,FGA,1279.0
12,2015-16,FGA,1416.0
13,2016-17,FGA,1344.0
14,2017-18,FGA,1580.0
15,2018-19,FGA,1095.0
16,2019-20,FGA,1303.0
17,2020-21,FGA,823.0
18,2021-22,FGA,414.0
0,2003-04,FGA,1492.0
1,2004-05,FGA,1684.0
2,2005-06,FGA,1823.0
3,2006-07,FGA,1621.0
4,2007-08,FGA,1642.0
5,2008-09,FGA,1613.0
6,2009-10,FGA,1528.0
7,2010-11,FGA,1485.0
8,2011-12,FGA,1169.0
9,2012-13,FGA,1354.0
10,2013-14,FGA,1353.0
11,2014-15,FGA,1279.0
12,2015-16,FGA,1416.0
13,2016-17,FGA,1344.0
14,2017-18,FGA,1580.0
15,2018-19,FGA,1095.0
16,2019-20,FGA,1303.0
17,2020-21,FGA,823.0
18,2021-22,FGA,414.0
0,2003-04,FGA,1492.0
1,2004-05,FGA,1684.0
2,2005-06,FGA,1823.0
3,2006-07,FGA,1621.0
4,2007-08,FGA,1642.0
5,2008-09,FGA,1613.0
6,2009-10,FGA,1528.0
7,2010-11,FGA,1485.0
8,2011-12,FGA,1169.0
9,2012-13,FGA,1354.0
10,2013-14,FGA,1353.0
11,2014-15,FGA,1279.0
12,2015-16,FGA,1416.0
13,2016-17,FGA,1344.0
14,2017-18,FGA,1580.0
15,2018-19,FGA,1095.0
16,2019-20,FGA,1303.0
17,2020-21,FGA,823.0
18,2021-22,FGA,414.0
0,2003-04,FGA,1492.0
1,2004-05,FGA,1684.0
2,2005-06,FGA,1823.0
3,2006-07,FGA,1621.0
4,2007-08,FGA,1642.0
5,2008-09,FGA,1613.0
6,2009-10,FGA,1528.0
7,2010-11,FGA,1485.0
8,2011-12,FGA,1169.0
9,2012-13,FGA,1354.0
10,2013-14,FGA,1353.0
11,2014-15,FGA,1279.0
12,2015-16,FGA,1416.0
13,2016-17,FGA,1344.0
14,2017-18,FGA,1580.0
15,2018-19,FGA,1095.0
16,2019-20,FGA,1303.0
17,2020-21,FGA,823.0
18,2021-22,FGA,414.0
0,2003-04,3P,63.0
1,2004-05,3P,108.0
2,2005-06,3P,127.0
3,2006-07,3P,99.0
4,2007-08,3P,113.0
5,2008-09,3P,132.0
6,2009-10,3P,129.0
7,2010-11,3P,92.0
8,2011-12,3P,54.0
9,2012-13,3P,103.0
10,2013-14,3P,116.0
11,2014-15,3P,120.0
12,2015-16,3P,87.0
13,2016-17,3P,124.0
14,2017-18,3P,149.0
15,2018-19,3P,111.0
16,2019-20,3P,148.0
17,2020-21,3P,104.0
18,2021-22,3P,55.0
0,2003-04,3P,63.0
1,2004-05,3P,108.0
2,2005-06,3P,127.0
3,2006-07,3P,99.0
4,2007-08,3P,113.0
5,2008-09,3P,132.0
6,2009-10,3P,129.0
7,2010-11,3P,92.0
8,2011-12,3P,54.0
9,2012-13,3P,103.0
10,2013-14,3P,116.0
11,2014-15,3P,120.0
12,2015-16,3P,87.0
13,2016-17,3P,124.0
14,2017-18,3P,149.0
15,2018-19,3P,111.0
16,2019-20,3P,148.0
17,2020-21,3P,104.0
18,2021-22,3P,55.0
0,2003-04,3P,63.0
1,2004-05,3P,108.0
2,2005-06,3P,127.0
3,2006-07,3P,99.0
4,2007-08,3P,113.0
5,2008-09,3P,132.0
6,2009-10,3P,129.0
7,2010-11,3P,92.0
8,2011-12,3P,54.0
9,2012-13,3P,103.0
10,2013-14,3P,116.0
11,2014-15,3P,120.0
